title,category
[국립대학육성사업]제5차 GNU-SDGs_ESG 재학생 아카데미 홍보 협조 요청새로운 글,일반
2025학년도 2학기 기말시험 안내,학사
「창업교육 혁신 선도대학(SCOUT)사업」2025전국 연합 창업동아리 성과공유회 프렌즈데이 홍보 협조 요청,일반
2025학년도 교육수요자 만족도 조사 설문 실시 안내 및 홍보 요청,일반
_2025년 외국인 유학생의 날 「하모니 페스티벌」홍보 협조 요청,일반
[국립대학육성사업] 2025학년도 학생 정책제안 공모전 실시 안내,학사
[국립대학육성사업] GNU-SDGs_ESG 서포터즈 '분리수GO!’ 운영 안내 및 홍보 요청,학사
2025 IoT GPT 크리에이티브 챌린지 프로그램 참가자 모집,학사
2026학년도 대학 셔틀버스 운행표 안내,학사
2025학년도 동계 계절학기 현장실습학기제 실습생 모집 협조,학사
학사 시스템 재난대응 모의훈련 및 정기점검에 따른 도서관 휴관 알림,학사
창업중심대학「BIZ 올인원(All-In-One) 캠프」안내 및 홍보 협조 요청,일반
[미래차 RISE사업] 2026학년도 미래차 설계해석 융합전공 모집 안내,학사
[RISE] 2025년 취업활동사례 수기 공모 안내 및 홍보 협조 요청,학사
2025학년도 동계계절학기 1차 폐강강좌 및 2차 수강정정(지도) 안내,학사
2025년 경상국립대학교 인권·성평등 공모전 기간 연장 안내,일반
[국립대학육성사업_자기계발프로그램]2025학년도 3차 GNU_The GeNiUs 캠프 운영 안내,일반
[국립대학육성사업]「2026학년도 1학기 개척학기제」신청자 모집 안내,일반
2025 학내구성원(대학(원)생) 장애인식개선교육 안내 협조 요청,일반
2025 버그바운티 부산 대회 참가자 모집 안내 및 홍보 협조 요청,일반
[국립대학육성사업]2025학년도 융·복합 ICT 활용 공모전 참여 협조 안내,일반
2025 경남 글로벌 혁신 페스타 참가 학생 모집 협조 요청,일반
2026학년도 USG공유대학2.0 스마트제ICT 융합전공 신입생 모집,일반
2026학년도 전과 시행 계획 안내,일반
2026학년도 신입생 정시 모집요강,일반
2025년 도서관 이용자 만족도 조사 참여 안내,일반
2025년「폭력예방교육」11월 이수현황 안내 및 이수 독려 협조 요청,일반
「2025 미래차 RISE사업 취업역량강화캠프」학생 참여 협조 요청,일반
2025학년도 재학생 동계방학 해외파견 영어연수 연수생 선발 공고,일반
「2025 경남 글로벌 혁신 페스타(G-Nex)」개최 안내 및 참석 협조,일반
2026학년도 USG공유대학2.0 융합전공 학생모집 홍보 요청,일반
[기업가정신센터]2025년 기업가정신 및 기업혁신 논문 공모전 홍보 협조 요청,일반
2026-2027 중국 정부초청 장학생 선발 안내,장학
[기업가정신센터]2025 글로컬 열린시민창업대학 명사특강 홍보,일반
2025년도 (재)경상국립대학교 춘추연구장학재단 장학생 선발 안내,장학
[국립대학육성사업_자기계발프로그램] 2025학년도 4차 GNU인성 프로그램 운영 안내,일반
[빅데이터혁신융합대학사업단] 배재대학교 2025학년도 겨울계절학기(신기술혁신융합대학사업단-실감미디어) 학점교류 수학 안내,학사
'25학년도 동계방학 특별개관 학생생활관칠암제2분관 관생 모집,일반
2025학년도 기초학력증진프로그램(GNU Grow N UP) 3차 운영 안내 및 홍보 협조 요청,일반
[국립대학육성사업]제4차 GNU-SDGs_ESG 재학생 아카데미 홍보 협조 요청,일반
가좌캠퍼스 정전(停電) 안내,일반
2026학년도 과학영재교육원 신입생 모집 안내,일반
「2025년 진주시 탄소중립 우리 함께 GO!GO!GO! 경진대회 및 숏폼 영상·슬로건 공모전」안내 및 홍보 협조 요청,일반
2025 동남권 대학생 창업 & 아이디어톤 경진대회 참가자 모집 안내 및 홍보 협조,일반
★ 비교과 역량강화프로그램-2025 국제게임전시회 지스타 현장체험 출발 안내★-신청 후 선발자에 한함,일반
2025학년도 2학기 역량활동장학금 신청 안내,장학
「The GeNiUs 학습법 특강(3차)」운영 안내,일반
[조선대] 2025학년도 동계 계절학기 교류수학 안내,일반
[경남대] 2025학년도 동계 계절학기 교류수학 안내,일반
2026학년도 1학기 학생설계전공 개발 공모 안내,일반
2025학년도 IT공과대학 취·창업 활성화를 위한 응시료 지원 신청서 제출 안내(2차),일반
[대학원혁신]2025년 경상국립대학교 대학(원)생 인권실태조사 참여 안내,일반
산업-사회 문제 해결을 위한 지역 사회 경험학습 공모전 홍보 협조 요청,일반
대학 공식 유튜브 채널 「Play GNU」 버스킹 공연 콘텐츠 참가자 모집 안내,일반
2025학년도 11월 졸업자격인증제(사회봉사ㆍ글로벌리더십) 인증신청 명단 제출 안내 [~11/24(월)까지],일반
2026학년도 1학기 1차 한국장학재단 주거안정장학금 신청 안내,장학
2025학년도 2학기 직원-조교 학생지도영역 학생상담 만족도 조사 재안내,일반
학생예비군 기본훈련 3차 및 이월 종합보충훈련 실시 안내,일반
[박물관] “돌과 흙에 깃든 사람살이” 특별전시 개막 알림,일반
2025년 GNU 인권문화페스티벌 행사 참석 안내,행사
현대오토에버 채용 우대 모빌리티 IT보안 교육과정(3기) 안내(기간 변경),취업
2025년 대한민국 AI교육 페스티벌(K-AEF) 행사 및 참가 사전등록 안내,행사
2025학년도 학생생활관 동계방학 특별개관 관생 모집 안내,일반
2025 GNU 개척리더스 창업아이디어 해커톤 경진대회 참가자 모집 안내 및 홍보 협조,일반
“2025 공학페스티벌(Explore & Experience)”참관자 모집,일반
[국립대학육성사업_기초학력증진프로그램]2025학년도 기초학력증진프로그램 (GNU Grow N Up) (2차) 모집 안내,일반
울산대학교 2025학년도 겨울 계절수업 교류수학 안내,일반
2025학년도 국가근로장학금「동계방학 집중근로(교외)」신청 안내,장학
대학홍보용 방송프로그램_KBS 캠퍼스 라바콘_ 제작에 따른 협조요청,일반
지역교육혁신센터 CI·학습플랫폼 명칭 공모전 연장 실시 안내 및 홍보 협조 요청,일반
[동국대학교 WISE캠퍼스] 2025학년도 겨울 계절학기 교류 수학 안내,일반
「빅데이터로 우리동네 문제해결 아이디어 공모대회」홍보 협조 요청,일반
[국립대학육성사업] Global Entrepreneurs Challenge[중국창업교육] 프로그램 참가자 모집 공고,일반
「지역균형성장과 대학 역할에 관한 동남권 포럼」개최 안내,일반
「2025 USG공유대학2.0 직무박람회」 개최 안내,일반
양자 기술 및 테스트베드의 이해 교육 홍보 협조 요청,일반
제11회 창의·융합 3D프린팅 아이디어 경진대회 개최 알림,일반
2026학년도 1학기 재입학 시행 계획 안내,일반
★ 비교과 역량강화프로그램-2025 국제게임전시회 지스타 현장체험 신청 안내 ★-마감,일반
2025 로보월드에 초대합니다.,일반
글로컬대학사업「해양레저·문화산책 아카데미」참여자 모집 및 홍보 협조 요청,학사
2026학년도 1학기 중국 파견 교환학생 추가 선발 공고,일반
[국립한국해양대] 2025학년도 겨울 계절학기 교류 수학 안내,일반
2026년도 관정재단 장학생 신청 안내,장학
2025년 경상국립대학교 인권·성평등 공모전 안내 및 홍보 협조 요청,일반
한국농어촌희망재단 「청년창업농 장학사업 설명회」 개최 안내,장학
[경찰청]2025 디지털 성범죄 근절 콘텐츠 공모전 참여 협조 요청,일반
2025년 대학생 취업인식도 설문조사 협조 요청(기한 연장),일반
2025학년도 2학기 외국인 유학생을 위한 진로·취업 올인원 특강 홍보 협조 요청,일반
2025년 2학기 외국인 유학생을 위한 남원시 문화체험행사 홍보 협조 요청,행사
[국립대학육성사업_자기계발프로그램]2025학년도 2차 GNU_The GeNiUs 캠프 운영 안내,일반
2025 겨울 GNU 영어캠프 보조교사 모집 안내 및 홍보 협조 요청,일반
경성대학교 2025학년도 동계 계절수업 교류 수학 안내,일반
2025년 (재)경상국립대학교 발전기금재단(목원장학기금_교직원 자녀) 장학금 신청 안내,장학
일자리 에너지 코어! 취업똑똑 수요데이 취업 특강(면접왕 이형) 안내,일반
2025학년도 동계 계절학기 운영 안내 및 교과목 개설 요청,일반
2025년 (재)경상국립대학교 발전기금재단(인동장학기금_정촌면 거주학생) 장학금 신청 안내,장학
[경북대] 2025학년도 겨울 계절수업 교류수학 안내,일반
[기업가정신센터]2025년 GNU 창업 스토리 공모전 홍보 협조 요청,일반
2025년도 한국지도자육성장학재단 장학생 선발 안내,장학
2025학년도 신입생 진로탐색검사 실시 안내,일반
[전남대] 2025학년도 동계 계절학기 교류수학 안내,일반
[제주대] 2025학년도 동기 계절수업 교류수학 안내,일반
2025년「폭력예방교육」10월 이수현황 안내 및 이수 독려 협조 요청,일반
2025학년도 GNU 교육과정 박람회 개최 안내,일반
[우주항공대학 글로컬대학사업] 2025학년도 1학기 우주항공방산융합학부 교육과정 이수식 및 우수 성과 발표회 홍보 협조 요청,학사
2025학년도 3차 경상국립대학교 핵심역량 진단 실시 안내,일반
[강원대] 2025학년도 겨울 계절수업 교류 수학 안내,일반
[부산대] 2025학년도 겨울 계절수업 교류 수학 안내,일반
[빅데이터혁신융합대학]첨단분야 빅데이터 컨소시엄 2025 빅데이터 융합 윈터스쿨 홍보 협조 요청,일반
2025학년도 제5차 외국어강좌 안내 및 홍보 협조 요청,일반
[기업가정신센터]「2025 정주영 창업경진대회 데모데이」참관 비교과 프로그램 참여자 모집 및 홍보 협조 요청,일반
[기업가정신센터]「2025 제20회 경남학생발명창의력대전」참여자 모집 및 홍보 협조 요청,일반
2025학년도 기초학력증진프로그램 운영 계획 안내,일반
[글로컬대학사업] GNU AI Pioneer 캠프 3차 운영 안내,학사
"도서관 홈페이지 동영상 강좌(공무원, 토익 등) 설문조사 실시 안내",일반
[국립부경대] 2025학년도 동계 계절수업 학점교류 수학 안내,일반
[국립대학육성사업]제3차 GNU-SDGs_ESG 재학생 아카데미 홍보 협조 요청,일반
2025 버그헌팅 실습훈련 초중급과정(온라인 교육) 홍보 협조 요청,일반
2025학년도 GADIST GP-해외과제발굴 프로그램 추가 모집 안내(4차),일반
2026학년도 전기 경상국립대학교 대학원 신입생 모집 홍보 요청,일반
[동국대 서울캠퍼스] 2025학년도 겨울계절학기 학점교류 수학 안내,일반
2025 GNU 개척리더스 창업서포터즈(3기) 프로그램 모집 안내 및 홍보 협조,일반
[충남대] 2025학년도 동기 계절학기 교류 수학 안내,일반
"[국립금오공과대] 2025학년도 동계 계절수업 수학 안내(구, 경남과기대)",일반
숙명여자대학교 2025학년도 겨울계절학기 학점교류 수학 안내,일반
[국립순천대] 2025학년도 동계 계절학기 교류수학 추천 안내(수정),일반
[동서대] 2025학년도 동계 계절학기 개설 안내,일반
「 비댁스 1DAY 아이디어톤 '아이디어 평가단' 모집 」,일반
2026년도 두산연강재단 장학생 선발 안내,장학
2025. 2학기 (재)남양육영재단 디딤돌장학생(자립준비청년) 선발 안내,장학
2025학년도 2학기 조우동장학회 장학금 신청 안내,장학
[국립대학육성사업] 2025학년도 2학기 융·복합 ICT역량강화 교육 특강 안내 및 홍보 협조 요청,일반
[기업가정신센터] 「2025 진주 K-기업가정신 국제포럼」 비교과 프로그램 참여자 모집 및 홍보 협조 요청,일반
★★ 소프트웨어 경진대회 및 전시회 개최 안내 ★★,일반
『2025학년도 PNU 성·인권 공모전』 개최에 따른 홍보 협조 요청,일반
[국립대학육성사업]제2회 도서관 옥탑 야외 행사 안내 및 홍보 협조 요청,행사
[전북대] 2025학년도 동기 계절수업 교류수학 추천 안내,일반
[국립창원대] 2025학년도 동기 계절수업 교류수학 추천 안내,일반
[국립대학육성사업] 2025학년도 2학기 개척학기제 중간보고서 평가 안내,일반
2025 제4회 경남권 사이버보안 경진대회 안내,일반
_「2025년 사천시 우주항공특화 일자리박람회」개최에 따른 참여자 모집 홍보 협조 요청,일반
2025학년도 서울대학교 동계 계절수업 교류수학 희망 학생 추천 안내,일반
FIX 2025 미래혁신기술박람회 홍보 및 참관 협조,일반
[충북대] 2025학년도 동기 계절수업 학점 교류 수학 안내,일반
[박물관] 2025년 박물관 자원봉사자(11월~12월) 모집 안내,일반
[국립대학육성사업] 2025학년도 GNU GP-해외봉사(동계) 모집 홍보 요청,일반
[빅데이터 혁신융합대학 사업단] 서울대학교 2025학년도 동계 계절수업 학점교류 안내 [~10/14(화)],일반
2026학년도 전기 대학원 신입생 모집 안내,일반
2026학년도 전기 경상국립대학교 스마트미래농업대학원 신입생 모집 안내,일반
2025학년도 2학기 중간 강의평가 안내,일반
2025학년도 All About GNU_ 전공소개 UCC 기획 공모전 운영 안내,일반
2025년 대학생 취업인식도 설문조사 협조 요청,일반
경상국립대학교 제77주년 개교기념식 안내,일반
[빅데이터혁신융합대학]2025 COSS-SCOUT 창업집중훈련 FLOW 경진대회 홍보 협조 요청,일반
지역교육혁신센터 CI·학습플랫폼 명칭 공모전 추진 안내,일반
2026학년도 1학기 중국 파견 교환학생 선발 공고,일반
[서울대학교 혁신융합대학사업] 2025학년도 동계 계절수업 교류수학 희망 학생 추천 안내,학사
[서울대학교 혁신융합대학사업] 2025학년도 서울대학교 동계 계절수업 교류수학 희망 학생 추천 안내,학사
2025 국민참여 청렴콘텐츠 공모전「국민투표」및 「표절제보」 안내,일반
「안전문화 공모전」연장 실시 안내 및 참여 요청,일반
2025년 경상국립대학교 미래차 RISE사업 소성가공 경진대회 참가 홍보 요청,일반
2025학년도 GADIST GP-해외과제발굴 프로그램 추가 모집 안내(3차),일반
학내 무선전산망(GNU-WLAN) 사용 안내,일반
2025년 진주시 미래세대 행복기금 장학생 선발 안내,장학
2025년 학생예비군 2차 기본훈련 안내,일반
칠암도서관 추석 및 연휴 기간 중 휴관 안내,일반
경상국립대학교 학생창업자 현황 및 창업지원 프로그램 개발을 위한 조사(2025년도 1차) 협조 요청,일반
[빅데이터 혁신융합대학 사업단] 2025 제조 빅데이터 분석 경진대회 홍보 협조 요청,일반
2025학년도 2학기 운영체제 수강자 리눅스 계정 사용자 명단 안내,학사
2025년 제4차 평생교육사 자격증 발급 신청 안내,일반
2026년 상반기 영어권 파견 교환 및 방문학생 선발 공고,일반
2025학년도 동계 GP-자율탐방(GPP) 실시 안내,일반
2025학년도 2학기 예비교원 대상 성인지 교육 실시 안내,일반
2026년 상반기 유럽(독일) 파견 교환학생 선발 공고,일반
2025학년도 2학기 외부시험 성적인정 신청 안내,일반
2026학년도 전기 외국인 학부 특별전형 안내,일반
2026년 상반기 일본 파견 교환학생 추가 선발 공고,일반
2025 글로벌 빅데이터·AI 교육 및 실무 체험 프로그램(베트남 FPT) 모집 홍보 협조 요청,일반
2025년 취업대상자 집중 취업필살기 프로그램 참여자 추천 안내,일반
경남RISE G-WEST 창업성장지원트랙 「2025 로컬소크라테스 BM 커머스랩」모집 협조 요청,일반
2025년 외국인 유학생을 위한 「한복문화체험 행사」홍보 협조 요청,행사
[블록체인 분야 개발/창업 공모전 홍보] 비댁스 1day 아이디어톤 참가자 모집,일반
"㈜아크로멧, 한미약품(주) 채용설명회 및 채용 추천 안내",취업
글로컬대학사업 설문조사 참여 요청,학사
(재안내)2025 서울특별시 빅데이터캠퍼스 공모전 홍보 요청(대학),일반
2025학년도 2학기 국제화장학금 신청 안내,장학
2025학년도 2학기 수강취소 신청 안내,학사
2025학년도 2학기 수강신청확인원 제출 안내,학사
RISE사업단 홍보 서포터즈 지원자 모집 안내,일반
2025년 기업·직무분석 경진대회 개최 및 사전교육 안내,일반
[기업가정신센터] 2025년 기업가정신 팸투어 참여자 모집 안내,일반
제28회 2025 국립창원대학교 전국 대학생 자율로봇경진대회 개최 및 모집 안내,일반
2025학년도 2학기 LG개척관 고시반 관생 추가 모집 안내(수정),일반
「2025 대학 연합 창업아이디어 발굴 콘(CORN)테스트」 모집 협조 요청,일반
[대학원혁신] 2025년 대동제 어울림_ 연구실＆강의실 인권+ 캠페인 개최 안내,일반
「국립대학육성사업」 2025년 문화유산 전문가 양성지원과정 교육생 모집 안내,일반
[미래차 RISE사업] 취업 연계 장학생 모집 설명회 개최 안내,장학
졸업예정자 대상 소프트웨어 기술자 신청 수수료 감면 안내,일반
2025학년도 2학기 미수강자 수강신청 지도 협조 요청,학사
［중소기업 연구인력 현장맞춤형 양성지원사업］사업설명회 홍보 및 참여 협조 요청,일반
졸업(예정)자 대상 소프트웨어 기술자 신청 수수료 감면 안내,일반
2025 “The Next AI” 인공지능 전시회 개최 안내,일반
[미래차 RISE사업] 취업 연계 장학생 모집 안내,장학
글로컬대학사업「해양레저·문화역사기행 프로그램」참여자 모집 및 홍보 협조 요청,학사
2025년 2학기 지역사회연계 건강생활실천 캠페인 안내,일반
2025년 하반기 생활체육(보디빌딩) 무료교실 참여 안내,일반
학내 인권침해 사건 발생 예방을 위한 인권센터 주요사항 안내,일반
2025학년도 GADIST GP-해외과제발굴 프로그램 추가 모집 변경 안내,일반
2026년 상반기 일본 교환학생 선발 공고,일반
2025학년도 2학기 교직이수자 대상 응급처치 및 심폐소생술 교육 안내,일반
중앙도서관 2학기 개강 이벤트 안내 및 홍보 협조 요청,일반
'2025 국방 AI 경진대회'에 초대합니다.(~9.21.(일)),일반
[경남RISE 4-3-1 유학생유치] 기초심폐소생술과정 2차 안내 및 홍보 협조 요청,일반
「2025년 경상남도 일자리 종합 박람회」개최에 따른 참여자 모집 안내,일반
「The GeNiUs 학습법 특강(2차)」운영 안내,일반
글로컬대학사업단 홍보부스 운영 안내 및 홍보 협조 요청,학사
일반대학원 입학 설명회 부스 운영 안내 및 홍보 요청,일반
[빅데이터혁신융합대학]숙명여자대학교 2025 빅데이터 캠퍼스 활용 아이디어 공모전 참가 및 홍보 협조 요청,일반
2025학년도 전기(`26.2.25.) 조기졸업 및 수료졸업 신청 안내,일반
2025년도 하반기 안전문화 캠페인 실시 및 참여 안내,일반
2025학년도 2학기 GNU 유학생 튜터링 프로그램 튜티 모집 안내,일반
2025학년도 2학기 IC-PBL 캡스톤디자인(종합설계)교과목 재료비 지원 안내,일반
[2-2-1 산학친화프로그램] 네이버와 함께하는 SME 퍼실리테이터 프로그램 참여자 모집 안내 및 홍보 협조,일반
2025학년도 2학기 신문방송사 학생 수습기자 모집 안내,일반
국립공원공단과 함께하는「진로·힐링 융합 꿈이룸 직무 캠프」참가자 모집 안내,일반
[미래차 RISE] (~9/26)2025학년도 2학기 캡스톤디자인 및 종합설계 팀 신청 자료 제출 안내,일반
[국립대학육성사업] 2025학년도 GNU Global Career 한국어 글쓰기 튜터링 신청 안내,일반
2025학년도 하반기 신입생 학생증 발급 절차 안내 협조,일반
[미래차 RISE사업] 2025년도 2학기「미래차 마이크로디그리」학생 모집 안내(4차),일반
「2025 탄소중립 경연대회」개최 및 홍보 안내,일반
희망도서(단행본 및 전자책) 구입 신청 안내,일반
박물관(칠암캠퍼스 진농관) 관람시간 변경 안내,일반
(국립대학육성사업)2025년 제5기 박물관대학 문화교육과정 수강생 모집 안내,학사
2025학년도 9월 졸업자격인증제(사회봉사ㆍ글로벌리더십) 인증신청 명단 제출 안내,일반
2025년 경남 대학 스포츠축제한마당 개최 변경 안내,일반
2025학년도 2학기 1차 폐강강좌 및 2차 수강정정(지도) 안내,학사
학생 공결 및 취업자출석인정 관련 주요사항 안내,일반
2025학년도 1학기 2차 폐강강좌 및 3차 수강정정(지도) 안내,학사
진로취업지원실(대학일자리플러스센터) 9월 진로취업 소식지 발송,일반
2025 자율주행 AI 챌린지 참여 독려 요청,일반
"★2차 수강정정 ★ 2025학년도 2학기 2차 수강정정 인원 조정 안내(부복수 전공,  편입생등 모두 포함)",학사
2025학년도 GNU 대학원생 인권서포터즈단 모집 안내,일반
2025학년도 2학기 중소기업 취업연계 장학사업(희망사다리Ⅰ유형) 신규장학생 신청 안내,장학
[국립대학육성사업]제2회 개척청년비전특강 안내 및 홍보 협조 요청,일반
2025학년도 2학기 외국인 신입생 오리엔테이션 안내,일반
2025학년도 2학기 장애학생 현황 제출 협조 요청,일반
2025 GNU 개척리더스 창업서포터즈(2기) 프로그램 모집 안내 및 홍보 협조,일반
[국립대학육성사업] 2025학년도 제23회 독서후기공모전 개최 안내,일반
[국립대학육성사업] 2025학년도 3차 GNU인성 프로그램 운영 안내,일반
2025학년도 2학기 중앙도서관 자료실 및 대출·반납 운영시간 변경 안내,일반
2025년「제1회 진주시 그린스텝 챌린지」참여 및 홍보 협조 요청,일반
2025학년도 2학기 도서관 구독 학술DB 교육 안내,일반
[창업진흥원] 2025 창업진흥원 정책 아이디어 공모전 개최 안내,일반
[글로컬대학사업]GNU AI Pioneer 온라인 특강 2차 운영 안내,학사
2025년도 2학기 국가장학금 2차 신청 재안내 및 적극 홍보 요청,장학
2025학년도 제4차 외국어강좌 안내 및 홍보 협조,일반
2025년 법정의무교육「장애인식개선교육」중간 실적 안내 및 이수 독려 협조 요청(실적 첨부),일반
2025년 경남지역 대학생 스포츠축제한마당 개최 안내 및 참가 협조 요청,일반
2025학년도 전기 졸업식 학위복 대여 공지,일반
2025학년도 2학기 복수(부)·연계·융합전공 추가 승인 명단 알림,일반
학위수여식 대비 가좌캠퍼스 연무방역 실시 안내,일반
2024학년도 후기 학위수여식 포토존 및 기념촬영 부스(인생네컷) 운영 안내,일반
“2025 Connected IoT Future Explore 프로그램”참가학생 모집,일반
2025학년도 GADIST GP-해외과제발굴 프로그램 추가 모집 안내,일반
2024학년도 후기(제75회) 학위수여식 행사 주차 협조 요청,행사
2025학년도 2학기 국가근로장학생 선발 관련 사전 안내,장학
2025학년도 2학기 국가근로(장애대학생봉사유형) 및 교육지원인력(구 도우미) 신청 안내,일반
학내 주요 서비스 일시 중단 안내,일반
2025년도 8월 졸업생 및 수료생 도서관 이용 안내,일반
[국립대학육성사업] 2025학년도 나만의 e-포트폴리오 기획 공모전 운영 안내,일반
☆2025학년도 IT공과대학 취·창업 동아리 활동지원금 중간 정산 실시 안내 [~9/1(월)],일반
「2025년도 로컬유니온 스타트업 캠퍼스 프로그램」 모집 협조 요청,일반
2025-2학기 경남 혈액원 헌혈 홍보 요청,일반
외국인 유학생 사증(비자) 체류기간 연장 서류 제출 안내,일반
「2025 전국 로켓피치 경진대회」홍보 협조 요청,일반
2024학년도 후기 학위수여식 참석여부 수요조사(8월 졸업대상자),일반
「2025학년도 GNU또래튜터링」모집 안내,일반
"★★[필독]2025학년도 2학기 1차 수강정정 관련(우선전공, 전과, 편입, 복수, 부전 모두 해당) 안내",학사
[글로컬대학사업] 생성형 AI 활용 역량 및 교육 수요조사 실시 안내,학사
경상국립대 출결·출입 시스템 작업에 따른 서비스 일시 중단 안내,일반
★[2학년]★ 리눅스시스템 증원 안내,일반
학생선수_선수출신 대학생 진로탐색 프로그램 2차 교육 모집 예정 안내 및 홍보 협조 요청,일반
★[2학년]★  컴퓨터구조 증원 안내,일반
[빅데이터 혁신융합대학 사업단] 2025 DATA VENTURE 문제해결 Challenge 안내 및 홍보 협조 요청,일반
[빅데이터 혁신융합대학 사업단]경기과학기술대학교 2025학년도 2학기 학점교류 안내,일반
[필독] 2025학년도 2학기 수강신청 관련 컴퓨터공학부 공지사항,학사
가좌캠퍼스 안전보행로 구축공사(2차) 시행 알림,일반
2025학년도 2학기 군 복무 중 학점인정 원격수업(군e러닝) 안내,일반
[박물관] 2025년 박물관 자원봉사자(9월~10월) 모집 안내,일반
2025학년도 2학기 국가근로장학금 2차 신청 안내,장학
2025학년도 2학기「GNU학습전략」교과목 수강 대상자 및 수강신청 학점 제한자 안내[대상자 별도 안내],학사
[창업지원단] 2025년도 실험실 창업탐색 혁신교육 프로그램 연구실 모집 연장 안내,일반
2025학년도 2학기 한국장학재단 주거안정장학금 2차 신청 안내,장학
2025년 제6회 호남사이버보안 컨퍼런스 웹 취약점 경진대회 안내,일반
2025년도 도서관 휴관 안내,일반
2024학년도 후기(제75호) 학위수여식 행사 개최 안내,행사
2025년 경남권 대학생 창업동아리 모집 기간 연장 안내,일반
2025학년도 2학기  GNU Buddy(유학생 도우미) 모집 안내,일반
2026-2027 스위스 정부초청 장학생 선발 안내,장학
2025학년도 2학기 근로장학금(멘토링장학금 포함) 지급시기 변경 안내,장학
[창업교육혁신센터] 2025학년도 1학기 DINO 창업장려금(장학금) 지원 대상자 모집 안내,장학
2025학년도 2학기 국가장학금 지원 단가 인상 안내 및 홍보 요청,장학
[미래차 RISE사업] 2025년도 2학기「미래차 마이크로디그리 및 미래차 설계해석 융합전공」학생 모집 안내(3차),일반
[창업교육혁신센터] 2025 경남CKL 콘텐츠 창작캠프 참가자 모집 안내 및 홍보 협조 요청,일반
[창업지원단] 2025년도 실험실 창업탐색 혁신교육 프로그램 연구실 모집 안내,일반
[창업교육혁신센터] GNU 창업교육 릴레이_ 온라인으로 함께하는 개척리더들의 여정 프로그램 참가자 모집 안내,일반
2025학년도 디지털배지 발급 수요조사 안내,일반
2025학년도 2학기 현장실습학기제 실습생 모집 협조 요청,일반
(2025학년도 여름방학특강 시즌2) AI시대 논문작성 안내,일반
[KISIA] 2025 정보보호 정책제안 공모전,일반
㈜에이엔에이치스트럭쳐 채용설명회(상담회) 및 채용 추천 안내,취업
2025년도 2학기 국가근로 신청자 희망근로지 신청 안내,일반
2024학년도 후기(2025.8.25.) 졸업사정 결과 확인 안내,일반
GNU 드림캐치 4단계 진로·취업 캠프 안내 및 홍보 협조 요청,일반
[창업지원단] 2025년 경남권 대학생 창업동아리 모집 안내,일반
[경남RISE 4-3-1 유학생 유치] 2025학년도 하계방학 외국인 유학생을 위한 폭력예방 법정의무교육 원데이 특강 실시 안내,일반
[창업중심대학] 2025년 동남권 『린스타트업 스쿨』 참여 및 홍보 요청,일반
2026학년도 국제화·개척도전·취업촉진 장학금 폐지 안내,장학
제28회 2025 국립창원대학교 전국 대학생 자율로봇경진대회 사전 모집 안내,일반
2025학년도 2학기 학부생 수강신청 안내,학사
2025학년도 USG공유대학2.0 융합전공 학생 3차 추가모집 홍보 요청,일반
2025학년도 2학기 재학생 교내 특별장학금 신청 안내,장학
수해복구 봉사활동 참가자 모집 안내,일반
2025학년도 2학기 경남대학교 교류 수학 안내,일반
2025학년도 제2학기 타 대학 학생의 국립한국해양대학교 수학 안내,일반
2025 경남 빅데이터위크 개최 홍보 요청,일반
「2025 서초 AI·로봇 공공서비스 공모전」홍보 협조 재요청,일반
[빅데이터 혁신융합대학 사업단]배재대학교 2025학년도 2학기 학점교류 안내,일반
[장학]2025년 2학기 푸른등대 기부장학금(생활비) 신규장학생 선발 안내,장학
[글로컬대학사업]2025학년도 학생주도 교양 교과목 기획 공모전 안내,학사
